,note_name,start_time,duration,velocity,tempo
552,C#4,130.51,99/100,80,124
553,C#3,130.51,99/100,80,124
554,F#5,131.01,49/100,120,124
555,F#5,131.01,49/100,96,124
556,G#5,131.51,49/100,120,124
557,G#5,131.51,49/100,96,124
558,C#4,131.51,49/100,80,124
559,C#3,131.51,49/100,80,124
560,G#5,132.0,4.0,120,124
561,G#5,132.0,4.0,96,124
562,A2,132.01,399/100,96,124
563,A3,132.01,99/100,64,124
564,G#4,133.01,99/100,104,124
565,C#4,133.01,99/100,104,124
566,E-4,133.01,99/100,80,124
567,E-3,133.01,99/100,80,124
568,C#4,134.01,49/100,80,124
569,C#3,134.01,49/100,80,124
570,B4,134.51,149/100,108,124
571,E-4,134.51,149/100,108,124
572,B3,134.51,149/100,80,124
573,B2,134.51,149/100,80,124
574,E2,136.01,399/100,96,124
575,G#4,136.01,99/100,100,124
576,E3,136.01,99/100,100,124
577,G#5,137.01,99/100,104,124
578,G#4,137.01,99/100,104,124
579,C#4,137.01,99/100,104,124
580,G#3,137.01,99/100,92,124
581,G#4,137.01,99/100,92,124
582,F#5,138.01,99/100,120,124
583,E-4,138.01,49/100,96,124
584,F#5,138.01,99/100,96,124
585,F#6,138.01,99/100,104,124
586,G#3,138.51,99/100,88,124
587,G#4,138.51,149/100,104,124
588,C#4,138.51,149/100,104,124
589,E5,139.01,49/100,120,124
590,E5,139.01,49/100,96,124
591,E6,139.01,49/100,104,124
592,E-5,139.51,49/100,120,124
593,E-5,139.51,49/100,96,124
594,E-6,139.51,49/100,104,124
595,E-5,140.0,1.0,120,124
596,E-5,140.0,1.0,96,124
597,E-6,140.0,1.0,104,124
598,F#2,140.01,399/100,96,124
599,F#4,140.01,49/100,104,124
600,C#4,140.01,49/100,104,124
601,C#6,141.01,99/100,104,124
602,C#5,141.01,99/100,109,124
603,G#4,141.01,99/100,109,124
604,C#4,141.01,99/100,109,124
605,G#3,141.01,99/100,92,124
606,C#5,141.01,99/100,92,124
607,B4,142.01,99/100,120,124
608,E-4,142.01,49/100,96,124
609,B4,142.01,99/100,96,124
610,B5,142.01,99/100,104,124
611,F#4,142.51,99/100,112,124
612,B-3,142.51,99/100,88,124
613,B-4,143.01,99/100,120,124
614,B-4,143.01,99/100,96,124
615,B-5,143.01,99/100,104,124
616,F#4,144.01,99/100,112,124
617,G#2,144.01,399/100,96,124
618,F#4,144.01,99/100,96,124
619,F#5,144.01,99/100,104,124
620,E-5,145.01,99/100,104,124
621,E-4,145.01,99/100,104,124
622,C#4,145.01,99/100,104,124
623,G#3,145.01,99/100,92,124
624,E-4,145.01,99/100,92,124
625,C#5,146.01,49/100,96,124
626,C#6,146.01,49/100,104,124
627,C#5,146.01,49/100,108,124
628,E-4,146.01,49/100,108,124
629,B4,146.51,99/100,120,124
630,E-4,146.51,149/100,112,124
631,C#4,146.51,149/100,96,124
632,G#3,146.51,149/100,88,124
633,B4,146.51,99/100,96,124
634,B5,146.51,99/100,104,124
635,B-4,147.51,49/100,120,124
636,B-4,147.51,49/100,96,124
637,B-5,147.51,49/100,104,124
638,B-4,148.0,1.5,120,124
639,E-4,148.0,0.5,112,124
640,B-4,148.0,0.5,96,124
641,B-5,148.0,0.5,104,124
642,C#4,148.01,49/100,96,124
643,F#2,148.01,399/100,96,124
644,F#4,149.01,149/100,112,124
645,C#4,149.01,99/100,96,124
646,B-3,149.01,99/100,88,124
647,F#4,149.01,149/100,96,124
648,F#5,149.01,149/100,104,124
649,E-4,150.01,99/100,104,124
650,G#4,150.51,149/100,112,124
651,G#3,150.51,99/100,88,124
652,G#4,150.51,149/100,96,124
653,G#5,150.51,149/100,104,124
654,F#4,151.01,99/100,112,124
655,G#4,152.01,99/100,120,124
656,E2,152.01,399/100,96,124
657,E3,152.01,99/100,88,124
658,G#5,153.01,99/100,104,124
659,G#4,153.01,99/100,104,124
660,C#4,153.01,99/100,104,124
661,G#3,153.01,99/100,92,124
662,G#4,153.01,99/100,92,124
663,F#5,154.01,99/100,120,124
664,E-4,154.01,49/100,96,124
665,F#5,154.01,99/100,96,124
666,F#6,154.01,99/100,104,124
667,G#4,154.51,99/100,112,124
668,C#4,154.51,149/100,96,124
669,G#3,154.51,99/100,88,124
670,E5,155.01,49/100,120,124
671,E5,155.01,49/100,96,124
672,E6,155.01,49/100,104,124
673,E-5,155.51,49/100,120,124
674,E-5,155.51,49/100,96,124
675,E-6,155.51,49/100,104,124
676,E-5,156.0,1.0,120,124
677,E-5,156.0,1.0,96,124
678,E-6,156.0,1.0,104,124
679,F#4,156.01,99/100,112,124
680,C#4,156.01,49/100,96,124
681,F#2,156.01,399/100,96,124
682,E6,157.01,99/100,104,124
683,E5,157.01,99/100,109,124
684,G#4,157.01,99/100,109,124
685,C#4,157.01,99/100,109,124
686,G#3,157.01,99/100,92,124
687,E5,157.01,99/100,92,124
688,F#5,158.01,99/100,120,124
689,E-4,158.01,49/100,96,124
690,F#5,158.01,99/100,96,124
691,F#6,158.01,99/100,104,124
692,B-3,158.51,99/100,88,124
693,B-4,158.51,99/100,104,124
694,F#4,158.51,99/100,104,124
695,B-5,159.01,99/100,120,124
696,B-5,159.01,99/100,96,124
697,B-6,159.01,99/100,104,124
698,G#2,160.01,399/100,96,124
699,C#6,160.01,99/100,96,124
700,C#7,160.01,99/100,104,124
701,C#6,160.01,99/100,109,124
702,G#4,160.01,99/100,109,124
703,E-4,160.01,99/100,109,124
704,B6,161.01,99/100,104,124
705,B5,161.01,99/100,109,124
706,G#4,161.01,99/100,109,124
707,C#4,161.01,99/100,109,124
708,G#3,161.01,99/100,92,124
709,B5,161.01,99/100,92,124
710,B-5,162.01,99/100,120,124
711,E-4,162.01,49/100,96,124
712,B-5,162.01,99/100,96,124
713,B-6,162.01,99/100,104,124
714,G#4,162.51,99/100,112,124
715,C#4,162.51,149/100,96,124
716,G#3,162.51,149/100,88,124
717,F#5,163.01,49/100,120,124
718,F#5,163.01,49/100,96,124
719,F#6,163.01,49/100,104,124
720,G#5,163.51,49/100,120,124
